proxy,response_time,quality_score
173.249.40.64:8118,0.64,100
203.95.198.175:8080,0.64,100
37.140.51.159:80,0.53,100
142.93.202.130:3128,0.15,100
158.255.77.166:80,0.75,100
23.247.136.248:80,0.13,100
120.28.216.126:8082,3.15,70
47.97.121.189:1000,0.76,100
203.95.198.129:8080,0.44,100
101.71.143.237:8092,0.71,100
203.95.198.167:8080,0.43,100
50.114.33.39:8080,0.57,100
123.58.199.232:8168,1.50,90
190.111.193.83:8080,0.54,100
201.47.88.19:3128,5.53,60
183.109.79.187:80,0.29,100
103.148.178.10:80,3.40,70
188.132.222.12:8080,5.41,60
24.52.33.75:8080,0.25,100
39.101.65.228:20000,2.42,80
103.160.41.54:1080,2.56,80
119.252.173.26:8080,1.46,90
47.83.192.255:8888,0.34,100
159.65.230.46:8888,0.31,100
195.158.8.123:3128,1.12,90
131.148.8.130:3128,4.39,70
103.176.96.136:8080,4.08,70
121.43.154.123:8085,2.41,80
46.34.165.86:443,1.15,90
164.163.43.102:10000,1.77,90
185.105.102.189:80,0.71,100
115.79.70.69:8470,3.05,70
47.56.110.204:8990,1.60,90
47.251.122.81:8888,0.05,100
27.79.193.204:16000,0.71,100
47.116.181.146:8080,2.39,80
103.191.196.33:8080,2.38,80
121.43.146.222:9080,2.40,80
101.132.222.120:80,0.70,100
187.251.224.167:8081,2.97,80
47.238.134.126:4002,2.32,80
98.64.128.182:3128,0.30,100
47.109.110.100:8081,2.44,80
47.116.210.163:5060,2.40,80
47.116.181.146:9443,2.39,80
186.121.234.93:8080,0.46,100
121.43.154.123:8008,2.41,80
212.127.95.235:8081,0.31,100
104.225.150.168:8081,0.03,100
83.168.74.163:8080,0.31,100
106.14.104.220:9080,2.40,80
47.238.128.246:41,2.37,80
82.137.244.74:8080,3.83,70
47.238.134.126:51,2.33,80
47.238.130.212:5060,2.33,80
27.71.228.47:3128,0.42,100
47.238.130.212:20,2.33,80
47.237.113.119:16010,2.95,80
47.237.113.119:8888,5.78,60
83.168.72.172:8081,0.32,100
45.70.202.160:999,3.37,70
49.48.53.68:8080,0.62,100
36.95.55.207:3128,7.43,60
47.108.159.113:6379,2.45,80
45.224.149.178:999,3.31,70
45.5.119.222:999,3.05,70
114.9.25.182:8080,0.73,100
121.43.146.222:8443,2.39,80
47.116.210.163:8888,2.37,80
39.102.213.213:10002,2.42,80
47.250.177.202:4022,2.43,80
36.136.27.2:4999,1.66,90
47.250.155.254:8004,2.60,80
47.121.133.212:9098,2.42,80
212.174.242.114:8080,6.68,60
39.102.211.162:5060,2.42,80
39.102.208.236:10002,2.42,80
47.116.181.146:80,2.39,80
120.25.189.254:8008,2.40,80
47.121.129.129:6666,2.41,80
45.186.6.104:3128,0.46,100
39.102.214.208:10002,2.42,80
39.102.211.162:10002,2.41,80
47.238.130.212:9050,2.33,80
50.237.153.243:8081,0.20,100
39.102.214.192:10000,2.42,80
102.219.208.86:3346,6.52,60
119.3.113.150:9094,0.83,100
119.3.113.151:9094,0.90,100
119.3.113.152:9094,0.68,100
120.26.104.146:6379,2.39,80
39.102.211.162:3128,2.42,80
47.121.183.107:6379,2.40,80
95.47.239.65:3128,2.87,80
213.169.33.7:8001,2.44,80
203.74.125.18:8888,0.30,100
47.121.129.129:8081,2.41,80
90.174.128.42:3128,8.20,60
91.205.172.113:3120,0.89,100
39.102.214.208:8081,2.41,80
47.250.155.254:1000,5.61,60
39.102.214.192:6379,2.41,80
47.250.177.202:6379,2.40,80
218.85.5.108:597,5.53,60
103.80.110.190:80,0.79,100
154.236.177.104:1976,2.67,80
154.236.177.104:1977,0.60,100
221.202.27.194:10809,2.43,80
39.102.209.128:8089,2.42,80
79.110.200.27:8000,0.31,100
103.170.22.137:8089,6.81,60
47.120.26.153:8888,1.37,90
120.55.240.71:8647,0.76,100
121.43.43.217:10007,0.74,100
39.102.214.152:9098,2.42,80
39.102.214.199:5060,2.42,80
114.215.127.92:80,2.42,80
47.250.177.202:999,2.42,80
